# x_m,y_m,w_tr_right_m,w_tr_left_m
-62.29455,36.145,3.5,3.5
-62.0651,37.89988,3.5,3.5
-61.86236,39.65867,3.5,3.5
-61.6865,41.41199,3.5,3.5
-61.5348,43.18156,3.5,3.5
-61.40878,44.94409,3.5,3.5
-61.30727,46.70599,3.5,3.5
-61.22923,48.48096,3.5,3.5
-61.17558,50.23846,3.5,3.5
-61.14491,52.01653,3.5,3.5
-61.13781,53.78417,3.5,3.5
-61.15388,55.54588,3.5,3.5
-61.19366,57.32646,3.5,3.5
-61.25591,59.07301,3.5,3.5
-61.34386,60.86218,3.5,3.5
-61.45429,62.61388,3.5,3.5
-61.59161,64.38983,3.5,3.5
-61.75347,66.14419,3.5,3.5
-61.94415,67.90947,3.5,3.5
-62.16266,69.65857,3.5,3.5
-62.4154,71.4202,3.5,3.5
-62.69853,73.14478,3.5,3.5
-63.06144,74.85435,3.5,3.5
-63.56453,76.55151,3.5,3.5
-64.16283,78.21542,3.5,3.5
-64.82561,79.85294,3.5,3.5
-65.53092,81.47185,3.5,3.5
-66.26234,83.07935,3.5,3.5
-67.00694,84.68185,3.5,3.5
-67.75375,86.28461,3.5,3.5
-68.49297,87.89171,3.5,3.5
-69.21569,89.50704,3.5,3.5
-69.91312,91.13329,3.5,3.5
-70.57603,92.77109,3.5,3.5
-71.19729,94.42586,3.5,3.5
-71.76809,96.09921,3.5,3.5
-72.27922,97.79185,3.5,3.5
-72.72124,99.50375,3.5,3.5
-73.08442,101.2337,3.5,3.5
-73.35908,102.9792,3.5,3.5
-73.53602,104.7369,3.5,3.5
-73.6068,106.5028,3.5,3.5
-73.5641,108.2719,3.5,3.5
-73.40321,110.0303,3.5,3.5
-73.12214,111.7709,3.5,3.5
-72.72023,113.4907,3.5,3.5
-72.19805,115.1869,3.5,3.5
-71.56838,116.8307,3.5,3.5
-70.83427,118.4314,3.5,3.5
-69.9954,119.9998,3.5,3.5
-69.07929,121.4995,3.5,3.5
-68.0816,122.9536,3.5,3.5
-67.00223,124.3715,3.5,3.5
-65.88241,125.7123,3.5,3.5
-64.67421,127.0422,3.5,3.5
-63.45927,128.2813,3.5,3.5
-62.15561,129.521,3.5,3.5
-60.86193,130.6744,3.5,3.5
-59.48495,131.8312,3.5,3.5
-58.1259,132.9112,3.5,3.5
-56.7033,133.985,3.5,3.5
-55.20763,135.0402,3.5,3.5
-53.69188,135.9577,3.5,3.5
-52.13144,136.74,3.5,3.5
-50.47509,137.3976,3.5,3.5
-48.79876,137.8891,3.5,3.5
-47.05358,138.222,3.5,3.5
-45.30281,138.3793,3.5,3.5
-43.53623,138.3652,3.5,3.5
-41.77678,138.184,3.5,3.5
-40.05075,137.8489,3.5,3.5
-38.338,137.3665,3.5,3.5
-36.69383,136.7662,3.5,3.5
-35.05596,136.0374,3.5,3.5
-33.51258,135.2333,3.5,3.5
-31.97725,134.322,3.5,3.5
-30.51601,133.3528,3.5,3.5
-29.08587,132.3089,3.5,3.5
